method,horizon,n_decisions,n_sources,task_success_count,task_success_numerator,task_success_denominator,task_success_rate,catastrophe_count,catastrophe_numerator,catastrophe_denominator,catastrophe_rate,safe_noncompletion_count,safe_noncompletion_numerator,safe_noncompletion_denominator,safe_noncompletion_rate,intervention_count,intervention_numerator,intervention_denominator,intervention_rate,unnecessary_intervention_count,unnecessary_intervention_numerator,unnecessary_intervention_denominator,unnecessary_intervention_rate,harmful_intervention_count,harmful_intervention_numerator,harmful_intervention_denominator,harmful_intervention_rate,beneficial_intervention_count,beneficial_intervention_numerator,beneficial_intervention_denominator,beneficial_intervention_rate,missed_beneficial_intervention_count,missed_beneficial_intervention_numerator,missed_beneficial_intervention_denominator,missed_beneficial_intervention_rate,unnecessary_given_base_success_count,unnecessary_given_base_success_denominator,unnecessary_given_base_success_rate,missed_given_beneficial_opportunity_count,missed_given_beneficial_opportunity_denominator,missed_given_beneficial_opportunity_rate,utility_sum,utility_denominator,mean_utility,oracle_regret_sum,oracle_regret_denominator,mean_oracle_regret,value_gain_over_base_sum,oracle_value_available_sum,oracle_value_recovered,success_rate
Base,5,26,8,14,14,26,0.5384615384615384,10,10,26,0.38461538461538464,2,2,26,0.07692307692307693,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,0,0,26,0.0,9,9,26,0.34615384615384615,0,14,0.0,9,9,1.0,4.0,26,0.15384615384615385,10.0,26,0.38461538461538464,0.0,10.0,0.0,0.5384615384615384
Always Detour,5,26,8,12,12,26,0.46153846153846156,7,7,26,0.2692307692307692,7,7,26,0.2692307692307692,26,26,26,1.0,14,14,26,0.5384615384615384,4,4,26,0.15384615384615385,4,4,26,0.15384615384615385,0,0,26,0.0,14,14,1.0,0,9,0.0,5.0,26,0.19230769230769232,9.0,26,0.34615384615384615,1.0,10.0,0.1,0.46153846153846156
Always Retreat,5,26,8,0,0,26,0.0,3,3,26,0.11538461538461539,23,23,26,0.8846153846153846,26,26,26,1.0,14,14,26,0.5384615384615384,14,14,26,0.5384615384615384,8,8,26,0.3076923076923077,0,0,26,0.0,14,14,1.0,0,9,0.0,-3.0,26,-0.11538461538461539,17.0,26,0.6538461538461539,-7.0,10.0,-0.7,0.0
Risk->Retreat,5,26,8,8,8,26,0.3076923076923077,3,3,26,0.11538461538461539,15,15,26,0.5769230769230769,18,18,26,0.6923076923076923,6,6,26,0.23076923076923078,6,6,26,0.23076923076923078,8,8,26,0.3076923076923077,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,5.0,26,0.19230769230769232,9.0,26,0.34615384615384615,1.0,10.0,0.1,0.3076923076923077
Risk->Detour,5,26,8,14,14,26,0.5384615384615384,7,7,26,0.2692307692307692,5,5,26,0.19230769230769232,18,18,26,0.6923076923076923,6,6,26,0.23076923076923078,2,2,26,0.07692307692307693,4,4,26,0.15384615384615385,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,7.0,26,0.2692307692307692,7.0,26,0.2692307692307692,3.0,10.0,0.3,0.5384615384615384
Risk->BestFixed,5,26,8,14,14,26,0.5384615384615384,7,7,26,0.2692307692307692,5,5,26,0.19230769230769232,18,18,26,0.6923076923076923,6,6,26,0.23076923076923078,2,2,26,0.07692307692307693,4,4,26,0.15384615384615385,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,7.0,26,0.2692307692307692,7.0,26,0.2692307692307692,3.0,10.0,0.3,0.5384615384615384
Risk+TwoStage,5,26,8,13,13,26,0.5,6,6,26,0.23076923076923078,7,7,26,0.2692307692307692,18,18,26,0.6923076923076923,6,6,26,0.23076923076923078,2,2,26,0.07692307692307693,5,5,26,0.19230769230769232,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,7.0,26,0.2692307692307692,7.0,26,0.2692307692307692,3.0,10.0,0.3,0.5
DirectChoice,5,26,8,8,8,26,0.3076923076923077,6,6,26,0.23076923076923078,12,12,26,0.46153846153846156,20,20,26,0.7692307692307693,8,8,26,0.3076923076923077,7,7,26,0.2692307692307692,5,5,26,0.19230769230769232,0,0,26,0.0,8,14,0.5714285714285714,0,9,0.0,2.0,26,0.07692307692307693,12.0,26,0.46153846153846156,-2.0,10.0,-0.2,0.3076923076923077
DirectQ,5,26,8,10,10,26,0.38461538461538464,6,6,26,0.23076923076923078,10,10,26,0.38461538461538464,17,17,26,0.6538461538461539,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,5,5,26,0.19230769230769232,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,4.0,26,0.15384615384615385,10.0,26,0.38461538461538464,0.0,10.0,0.0,0.38461538461538464
DirectQ-lambda2,5,26,8,11,11,26,0.4230769230769231,6,6,26,0.23076923076923078,9,9,26,0.34615384615384615,16,16,26,0.6153846153846154,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,5,5,26,0.19230769230769232,0,0,26,0.0,5,14,0.35714285714285715,0,9,0.0,5.0,26,0.19230769230769232,9.0,26,0.34615384615384615,1.0,10.0,0.1,0.4230769230769231
DirectQ-lambda3,5,26,8,11,11,26,0.4230769230769231,5,5,26,0.19230769230769232,10,10,26,0.38461538461538464,16,16,26,0.6153846153846154,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,6,6,26,0.23076923076923078,0,0,26,0.0,5,14,0.35714285714285715,0,9,0.0,6.0,26,0.23076923076923078,8.0,26,0.3076923076923077,2.0,10.0,0.2,0.4230769230769231
DirectQ-lambda5,5,26,8,10,10,26,0.38461538461538464,4,4,26,0.15384615384615385,12,12,26,0.46153846153846156,17,17,26,0.6538461538461539,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,8,8,26,0.3076923076923077,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,6.0,26,0.23076923076923078,8.0,26,0.3076923076923077,2.0,10.0,0.2,0.38461538461538464
DirectQ-lambda8,5,26,8,11,11,26,0.4230769230769231,4,4,26,0.15384615384615385,11,11,26,0.4230769230769231,16,16,26,0.6153846153846154,5,5,26,0.19230769230769232,4,4,26,0.15384615384615385,8,8,26,0.3076923076923077,0,0,26,0.0,5,14,0.35714285714285715,0,9,0.0,7.0,26,0.2692307692307692,7.0,26,0.2692307692307692,3.0,10.0,0.3,0.4230769230769231
PairwiseAdvantage,5,26,8,10,10,26,0.38461538461538464,6,6,26,0.23076923076923078,10,10,26,0.38461538461538464,17,17,26,0.6538461538461539,6,6,26,0.23076923076923078,5,5,26,0.19230769230769232,5,5,26,0.19230769230769232,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,4.0,26,0.15384615384615385,10.0,26,0.38461538461538464,0.0,10.0,0.0,0.38461538461538464
OutcomeRouter,5,26,8,12,12,26,0.46153846153846156,6,6,26,0.23076923076923078,8,8,26,0.3076923076923077,17,17,26,0.6538461538461539,6,6,26,0.23076923076923078,3,3,26,0.11538461538461539,5,5,26,0.19230769230769232,0,0,26,0.0,6,14,0.42857142857142855,0,9,0.0,6.0,26,0.23076923076923078,8.0,26,0.3076923076923077,2.0,10.0,0.2,0.46153846153846156
OutcomeRouter-hidden-only,5,26,8,13,13,26,0.5,7,7,26,0.2692307692307692,6,6,26,0.23076923076923078,18,18,26,0.6923076923076923,7,7,26,0.2692307692307692,3,3,26,0.11538461538461539,4,4,26,0.15384615384615385,0,0,26,0.0,7,14,0.5,0,9,0.0,6.0,26,0.23076923076923078,8.0,26,0.3076923076923077,2.0,10.0,0.2,0.5
OutcomeRouter-state-action-only,5,26,8,11,11,26,0.4230769230769231,6,6,26,0.23076923076923078,9,9,26,0.34615384615384615,20,20,26,0.7692307692307693,9,9,26,0.34615384615384615,4,4,26,0.15384615384615385,5,5,26,0.19230769230769232,0,0,26,0.0,9,14,0.6428571428571429,0,9,0.0,5.0,26,0.19230769230769232,9.0,26,0.34615384615384615,1.0,10.0,0.1,0.4230769230769231
GeometryOracle-condition,5,26,8,15,15,26,0.5769230769230769,7,7,26,0.2692307692307692,4,4,26,0.15384615384615385,10,10,26,0.38461538461538464,0,0,26,0.0,0,0,26,0.0,3,3,26,0.11538461538461539,1,1,26,0.038461538461538464,0,14,0.0,1,9,0.1111111111111111,8.0,26,0.3076923076923077,6.0,26,0.23076923076923078,4.0,10.0,0.4,0.5769230769230769
